source,keep,rescue_rule,flag_rules,relevance_score,date,actor,actor_country,target_country,target_actor,event_type,event_subtype,motive,description,original_id,actor_norm,target_country_iso,target_country_raw,tc_extraction_method,date_intrinsic,event_type_source,event_subtype_source,cluster_id,abstraction_level,analysis_weight,is_cluster_canonical,duplicate_group_id,duplicate_confidence,granularity_flag,granularity_note,sources_in_group,is_canonical,cluster_size,date_min,date_max,dates_all,targets_all,event_types_all,event_subtypes_all,motives_all,actor_all,total_events,description_merged,description_merged_final,actor_country_native,actor_country_grounded,date_native,date_grounded,canonical_incident_name,enrichment_status,enrichment_method,external_citation_urls,citation_count,native_source_url,include_in_analysis,exclude_reason,actor_type,attribution_method,confidence_hint
cissm,yes,,,0.112348,2024-03-11,Anonymous Sudan,Russian Federation,France,French government agencies,Disruptive,External Denial of Service,Undetermined,A number of French government agencies are hit by Ã¢â‚¬Å“intenseÃ¢â‚¬Â cyberattacks,cissm_-2096713303948550477,anonymous,FRA,,direct_lookup,True,Disruptive,External Denial of Service,,daily,1.0,True,,,single,CISSM:1,cissm,True,1,2024-03-11,2024-03-11,2024-03-11,French government agencies,Disruptive,External Denial of Service,Undetermined,Anonymous Sudan,1,A number of French government agencies are hit by Ã¢â‚¬Å“intenseÃ¢â‚¬Â cyberattacks,A number of French government agencies are hit by Ã¢â‚¬Å“intenseÃ¢â‚¬Â cyberattacks,,,,,,,,,,https://therecord.media/france-government-ddos-incident,True,,hacktivist_prorussian,unclear,none
cissm,yes,,,0.025633,2022-11-03,Russian Hackers Team,Russian Federation,France,Rakuten Viber,Disruptive,External Denial of Service,Protest,Russian Hackers Team claims to have conducted a DDoS attack against the website of a cross-platform voice-over IP and messaging application.,cissm_-2429480153365504076,russian hackers team,FRA,,direct_lookup,True,Disruptive,External Denial of Service,cluster_1,atomic,0.5000,False,1,high,multi_within,CISSM:2,cissm,True,2,2022-11-03,2022-11-03,2022-11-03,Rakuten Viber; Viber,Disruptive,External Denial of Service,Protest,Russian Hackers Team,1,Russian Hackers Team claims to have conducted a DDoS attack against the website of a cross-platform voice-over IP and messaging application.,Russian Hackers Team claims to have conducted a DDoS attack against the website of a cross-platform voice-over IP and messaging application.,,,,,,,,,,https://t.me/russian_hackers_team/455,True,,state_russian,self_attribution,claimed
cissm,yes,,,0.081462,2022-02-01,FSB 18th Center for Information Security (Berserk Bear),Russian Federation,Ukraine,Ukrainian Ministry of Foreign Affairs,Exploitive,Exploitation of End Hosts,Political-Espionage,A malicious Word document attached to a spear-phishing email allegedly targeted the Ukrainian Ministry of Foreign Affairs. The file was backdoored with a VBS script to download and install a persistent file on the victim's machine.,cissm_-1237031872172952129,fsb,UKR,,direct_lookup,True,Exploitive,Exploitation of End Hosts,,daily,1.0,True,,,single,CISSM:1,cissm,True,1,2022-02-01,2022-02-01,2022-02-01,Ukrainian Ministry of Foreign Affairs,Exploitive,Exploitation of End Hosts,Political-Espionage,FSB 18th Center for Information Security (Berserk Bear),1,A malicious Word document attached to a spear-phishing email allegedly targeted the Ukrainian Ministry of Foreign Affairs. The file was backdoored with a VBS script to download and install a persistent file on the victim's machine.,A malicious Word document attached to a spear-phishing email allegedly targeted the Ukrainian Ministry of Foreign Affairs. The file was backdoored with a VBS script to download and install a persistent file on the victim's machine.,,,,,,,,,,https://www.trellix.com/en-us/about/newsroom/stories/threat-labs/growling-bears-make-thunderous-noise.html,True,,state_russian,unclear,none
cissm,yes,,,0.051271,2022-02-01,UAC-0056,Russian Federation,Ukraine,Undetermined,Exploitive,Exploitation of End Hosts,Political-Espionage,"Spear phishing email was sent to an employee of a Ukrainian energy organization containing malicious files that would download and install a payload known as SaintBot (a downloader) and OutSteel (a document stealer). The same threat actor group targeted a Western government entity in Ukraine, as well as several Ukrainian government organizations back in March 2021.",cissm_-6583632776827867324,uac-0056,UKR,,direct_lookup,True,Exploitive,Exploitation of End Hosts,,daily,1.0,True,,,single,CISSM:1,cissm,True,1,2022-02-01,2022-02-01,2022-02-01,Undetermined,Exploitive,Exploitation of End Hosts,Political-Espionage,UAC-0056,1,"Spear phishing email was sent to an employee of a Ukrainian energy organization containing malicious files that would download and install a payload known as SaintBot (a downloader) and OutSteel (a document stealer). The same threat actor group targeted a Western government entity in Ukraine, as well as several Ukrainian government organizations back in March 2021.","Spear phishing email was sent to an employee of a Ukrainian energy organization containing malicious files that would download and install a payload known as SaintBot (a downloader) and OutSteel (a document stealer). The same threat actor group targeted a Western government entity in Ukraine, as well as several Ukrainian government organizations back in March 2021.",,,,,,,,,,https://unit42.paloaltonetworks.com/ukraine-targeted-outsteel-saintbot/,True,,state_russian,academic_research,definitive
cissm,yes,,,0.037472,2022-02-10,Undetermined,Undetermined,Ukraine,Ukrtelecom,Disruptive,External Denial of Service,Sabotage,"The network of Ukrtelecom, a Ukrainian service provider, is taken down by multiple DDoS attacks. | Also the network of Triolan, a second Ukrainian service provider, is taken down by multiple DDoS attacks. | The Ukrainian Armed Forces are hammered in a string of DDOS attacks. | The Ukrainian Ministry of Defense is hammered in a string of DDOS attacks taking it offline. | One of Ukraine's largest banks is hammered in a string of DDOS attacks interrupting customer access to accounts.",cissm_4486690127077772914,undetermined,UKR,,direct_lookup,True,Disruptive,External Denial of Service,cluster_2,atomic,0.5000,False,3,high,multi_within,CISSM:6,cissm,True,6,2022-02-10,2022-02-15,2022-02-10; 2022-02-15,Ukrtelecom; Triolan; Armed Forces of Ukraine; Ministry of Defense; Oschadbank; Privatbank,Disruptive,External Denial of Service,Sabotage,,1,"One of Ukraine's largest banks is hammered in a string of DDOS attacks interrupting customer access to accounts. Also the network of Triolan, a second Ukrainian service provider, is taken down by multiple DDoS attacks. The network of Ukrtelecom, a Ukrainian service provider, is taken down by multiple DDoS attacks. The Ukrainian Ministry of Defense is hammered in a string of DDOS attacks taking it offline.","One of Ukraine's largest banks is hammered in a string of DDOS attacks interrupting customer access to accounts. Also the network of Triolan, a second Ukrainian service provider, is taken down by multiple DDoS attacks. The network of Ukrtelecom, a Ukrainian service provider, is taken down by multiple DDoS attacks. The Ukrainian Ministry of Defense is hammered in a string of DDOS attacks taking it offline.",Undetermined,RUS,2022-02-10,2022-02-10,Russian DDoS attack targeting Ukrtelecom,enriched,contextual_inference,https://therecord.media/ukraines-internet-infrastructure-struggles-as-russian-invasion-continues/,1,https://therecord.media/ukraines-internet-infrastructure-struggles-as-russian-invasion-continues/; https://www.bleepingcomputer.com/news/security/ukrainian-military-agencies-state-owned-banks-hit-by-ddos-attacks/,True,,unknown,unclear,none
cissm,yes,,,0.036321,2022-02-11,UAC-0056,Russian Federation,Ukraine,Undetermined,Exploitive,Exploitation of End Hosts,Political-Espionage,"CERT-UA reported mass distribution of phishing emails supposedly originating from Ukrainian state bodies and targeting Ukrainian entities. The lure is a Ukrainian language translation software, leading to the infection of GrimPlant and GraphSteel.",cissm_5821766133425985120,uac-0056,UKR,,direct_lookup,True,Exploitive,Exploitation of End Hosts,,daily,1.0,True,,,single,CISSM:1,cissm,True,1,2022-02-11,2022-02-11,2022-02-11,Undetermined,Exploitive,Exploitation of End Hosts,Political-Espionage,UAC-0056,1,"CERT-UA reported mass distribution of phishing emails supposedly originating from Ukrainian state bodies and targeting Ukrainian entities. The lure is a Ukrainian language translation software, leading to the infection of GrimPlant and GraphSteel.","CERT-UA reported mass distribution of phishing emails supposedly originating from Ukrainian state bodies and targeting Ukrainian entities. The lure is a Ukrainian language translation software, leading to the infection of GrimPlant and GraphSteel.",,,,,,,,,,https://cert.gov.ua/article/37704,True,,state_russian,official_government,definitive
cissm,yes,,,0.084311,2022-02-23,GRU Main Special Center for Special Technologies (Unit 74455) (SANDWORM),Russian Federation,Ukraine,Undetermined,Mixed,Exploitation of Application Server,Sabotage,"A number of organizations in Ukraine have been hit by a cyberattack, infecting hundreds of computers. The attack involved new data-wiping malware dubbed HermeticWiper ÃƒÆ’Ã‚Æ’Ãƒâ€ Ã‚â€™ÃƒÆ’Ã‚â€šÃƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Æ’Ãƒâ€šÃ‚Â¢'ÃƒÆ’Ã‚â€šÃƒâ€šÃ‚Â¬"" a destructive malware that can delete or corrupt data on a targeted computer or network. The wiper has been detected in Ukraine, Latvia and Lithuania. | UAC-0082 (a.k.a. Sandworm) staged a file encryptor on the network of an agricultural firm, holding this entity at risk for future destruction. Microsoft assesses that this was likely targeting grain production, a major export commodity in Ukraine's economy.",cissm_8151004635878643622,sandworm,UKR,,direct_lookup,True,Mixed,Exploitation of Application Server,cluster_5,atomic,0.2500,False,11,high,multi_within,CISSM:4,cissm,True,4,2022-02-23,2022-02-23,2022-02-23,,Mixed; Disruptive,Exploitation of Application Server; Data Attack,Sabotage,GRU Main Special Center for Special Technologies (Unit 74455) (SANDWORM),1,"A number of organizations in Ukraine have been hit by a cyberattack, infecting hundreds of computers. The attack involved new data-wiping malware dubbed HermeticWiper ÃƒÆ’Ã‚Æ’Ãƒâ€ Ã‚â€™ÃƒÆ’Ã‚â€šÃƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Æ’Ãƒâ€šÃ‚Â¢'ÃƒÆ’Ã‚â€šÃƒâ€šÃ‚Â¬"" a destructive malware that can delete or corrupt data on a UAC-0082 (a.k.a. Sandworm) staged a file encryptor on the network of an agricultural firm, holding this entity at risk for future destruction. Microsoft assesses that this was likely targeting grain p","A number of organizations in Ukraine have been hit by a cyberattack, infecting hundreds of computers. The attack involved new data-wiping malware dubbed HermeticWiper ÃƒÆ’Ã‚Æ’Ãƒâ€ Ã‚â€™ÃƒÆ’Ã‚â€šÃƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Æ’Ãƒâ€šÃ‚Â¢'ÃƒÆ’Ã‚â€šÃƒâ€šÃ‚Â¬"" a destructive malware that can delete or corrupt data on a UAC-0082 (a.k.a. Sandworm) staged a file encryptor on the network of an agricultural firm, holding this entity at risk for future destruction. Microsoft assesses that this was likely targeting grain p",,,,,,,,,,https://www.welivesecurity.com/2022/02/24/hermeticwiper-new-data-wiping-malware-hits-ukraine/; https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RE4Vwwd,True,,state_russian,official_government,qualified
cissm,yes,,,0.046093,2022-02-24,Undetermined,Undetermined,Ukraine,Kyiv Post,Disruptive,External Denial of Service,Sabotage,"A Ukrainian news website reports that its site has been under constant cyberattack during the Russian-Ukrainian armed conflict. The DDOS attack incapacitated their systems and they had to find alternative means to publish the news by posting shortened stories on Facebook, Twitter, and LinkedIn. | The websites of several Ukrainian banks and government departments, including the Ministry of Foreign Affairs, Ministry of Defense, Ministry of Internal Affairs, Security Service (SBU) and Cabinet of Ministers became inaccessible following a large DDoS attack. Most other sites came online within two hours of the attack but latency and outages continued into the following day for others. | More than 600 websites belonging to the defence ministry in Kyiv and other institutions suffered attacks with the launch of thousands of exploits with attempts pointed to at least 20 distinct vulnerabilities. The campaign started mid-February and peaked on 23 February. The attacks sought to infiltrate targets ranging from border defence forces to the national bank and railway authority. They were designed to steal data and explore ways to shut down or disrupt vital defence and civilian infrastructure. The Times, allegedly quoting a source at the SBU, claimed the campaign was co-ordinated by the Chinese government. The SBU went on to deny The Times report. | ... and 7 more unique descriptions",cissm_8613542690007835772,undetermined,UKR,,direct_lookup,True,Disruptive,External Denial of Service,cluster_6,atomic,0.5000,False,4,high,multi_within,CISSM:20,cissm,True,20,2022-02-23,2022-03-07,2022-02-24; 2022-02-23; 2022-02-25; 2022-02-26; 2022-03-01; 2022-03-02; 2022-03-03; 2022-03-07,"Kyiv Post; Ukrainian Cabinet of Ministers; Ukrainian Ministry of Defense; Ukrainian Ministry of Foreign Affairs; Ukrainian Ministry of Internal Affairs; Ukrainian Security Service (SBU); Ukraine border control station; Ukraine border control; Ukrainian Embassy in London; Ukrainian government and regional authorities' websites; Numerous Ukraine sites, including the Ministry of Foreign Affairs, Ministry of Internal Affairs",Disruptive; Mixed,External Denial of Service; Exploitation of Application Server; Data Attack; Message Manipulation,Sabotage; Political-Espionage,,1,"The websites of several Ukrainian banks and government departments, including the Ministry of Foreign Affairs, Ministry of Defense, Ministry of Internal Affairs, Security Service (SBU) and Cabinet of Ministers became inaccessible following a large DDoS attack. Most other sites came online within two More than 600 websites belonging to the defence ministry in Kyiv and other institutions suffered attacks with the launch of thousands of exploits with attempts pointed to at least 20 distinct vulnera","The websites of several Ukrainian banks and government departments, including the Ministry of Foreign Affairs, Ministry of Defense, Ministry of Internal Affairs, Security Service (SBU) and Cabinet of Ministers became inaccessible following a large DDoS attack. Most other sites came online within two More than 600 websites belonging to the defence ministry in Kyiv and other institutions suffered attacks with the launch of thousands of exploits with attempts pointed to at least 20 distinct vulnera",Undetermined,RUS,2022-02-24,2022-02-24,Russian DDoS attack targeting Kyiv Post news website,enriched,contextual_inference,https://twitter.com/KyivPost/status/1496775905192161280?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1496775905192161280%7Ctwgr%5E%7Ctwcon%5Es1_c10&ref_url=https%3A%2F%2Fwww.news18.com%2Fnews%2Ftech%2Fukrainian-publication-kyiv-post-says-website-hacked-amid-russian-cyberattacks-heres-whats-happening-4809248.html,1,https://www.politico.eu/article/minister-ukraine-websites-down-in-another-massive-online-attack/; https://www.thetimes.co.uk/article/china-cyberattack-ukraine-z9gfkbmgf?utm_medium=Social&utm_source=Twitter#Echobox=1648831425; https://www.welivesecurity.com/2022/03/01/isaacwiper-hermeticwizard-wiper-worm-targeting-ukraine/; https://www.washingtonpost.com/world/2022/02/26/europe-welcomes-refugees-ukraine-russia/; https://venturebeat.com/2022/02/27/ukraine-border-control-hit-with-wiper-cyberattack-slowing-refugee-crossing/; https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RE4Vwwd; https://twitter.com/UkrEmbLondon/status/1499372807481929741; https://www.bleepingcomputer.com/news/security/ukraine-says-local-govt-sites-hacked-to-push-fake-capitulation-news/; https://www.zdnet.com/article/phishing-attempts-from-fancybear-and-ghostwriter-stepping-up-says-google/; https://twitter.com/KyivPost/status/1496775905192161280?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1496775905192161280%7Ctwgr%5E%7Ctwcon%5Es1_c10&ref_url=https%3A%2F%2Fwww.news18.com%2Fnews%2Ftech%2Fukrainian-publication-kyiv-post-says-website-hacked-amid-russian-cyberattacks-heres-whats-happening-4809248.html,True,,unknown,unclear,none
cissm,yes,,,0.03736,2022-02-24,Ghostwriter,Belarus,Ukraine,Undetermined,Mixed,Exploitation of End Hosts,Sabotage,"A phishing campaign was observed using a possibly compromised Ukrainian armed service member's email account, to target European government personnel involved in managing the logistics of refugees fleeing Ukraine. Researchers indicate there was a clear preference for targeting individuals with responsibilities related to transportation, financial and budget allocation, administration, and population movement within Europe.",cissm_1243182496068312243,ghostwriter,UKR,,direct_lookup,True,Mixed,Exploitation of End Hosts,,daily,1.0,True,,,single,CISSM:1,cissm,True,1,2022-02-24,2022-02-24,2022-02-24,Undetermined,Mixed,Exploitation of End Hosts,Sabotage,Ghostwriter,1,"A phishing campaign was observed using a possibly compromised Ukrainian armed service member's email account, to target European government personnel involved in managing the logistics of refugees fleeing Ukraine. Researchers indicate there was a clear preference for targeting individuals with responsibilities related to transportation, financial and budget allocation, administration, and population movement within Europe.","A phishing campaign was observed using a possibly compromised Ukrainian armed service member's email account, to target European government personnel involved in managing the logistics of refugees fleeing Ukraine. Researchers indicate there was a clear preference for targeting individuals with responsibilities related to transportation, financial and budget allocation, administration, and population movement within Europe.",,,,,,,,,,https://www.proofpoint.com/us/blog/threat-insight/asylum-ambuscade-state-actor-uses-compromised-private-ukrainian-military-emails,True,,state_russian,unclear,none
cissm,yes,,,0.064023,2022-02-25,theMx0nday,Brazil,Ukraine,Undetermined,Disruptive,Message Manipulation,Undetermined,"The Wordfence team has identified a cyberattack on Ukrainian universities that coincided with the invasion of Ukraine by Russia, and resulted in at least 30 compromised Ukrainian university websites. 
 The threat actor has stated publicly that they support Russia in the conflict.",cissm_1764016070224870086,themx0nday,UKR,,direct_lookup,True,Disruptive,Message Manipulation,,daily,1.0,True,,,single,CISSM:1,cissm,True,1,2022-02-25,2022-02-25,2022-02-25,Undetermined,Disruptive,Message Manipulation,Undetermined,theMx0nday,1,"The Wordfence team has identified a cyberattack on Ukrainian universities that coincided with the invasion of Ukraine by Russia, and resulted in at least 30 compromised Ukrainian university websites. 
 The threat actor has stated publicly that they support Russia in the conflict.","The Wordfence team has identified a cyberattack on Ukrainian universities that coincided with the invasion of Ukraine by Russia, and resulted in at least 30 compromised Ukrainian university websites. 
 The threat actor has stated publicly that they support Russia in the conflict.",,,,,,,,,,https://www.wordfence.com/blog/2022/03/ukraine-universities-hacked-by-brazilian-via-finland-as-russian-invasion-started/,True,,hacktivist_prorussian,corporate_threat_intel,qualified
